in_t_11,out_t_11,m_11
0.3262222222222224,0.2275662435983079,0.3980570880307027
0.4433333333333336,0.3253173012692052,0.326667066442792
0.5573333333333335,0.41438432420396354,0.2876739026145358
0.6660000000000001,0.509908706301492,0.2567911969297193
0.5608888888888888,0.6036517479403252,0.2350833533221396
0.44799999999999973,0.629926519706079,0.23800671623890618
0.3411111111111109,0.5119127143175242,0.27945850323818655
0.2348888888888887,0.3823201959474505,0.329485488126649
0.10955555555555563,0.2585170340681364,0.39002158791076996
0.007333333333333192,0.09864172790024495,0.5233569201247301
0.10422222222222222,0.03785348474727224,0.5762173183017509
0.22444444444444422,0.10799376530839466,0.35645538498440865
0.31377777777777793,0.20195947450456475,0.2347835212281122
0.47,0.2618570474281896,0.26508155432957536
0.31933333333333347,0.3825428635047874,0.22659810506116573
0.24733333333333318,0.4308617234468939,0.21842768049892053
0.11444444444444457,0.2919171676686707,0.28764391940513306
0.0,0.15163660654642608,0.421174142480211
0.10666666666666669,0.0516588733021599,0.755801751019429
0.2362222222222221,0.15942997105321766,0.672238546414008
0.3495555555555556,0.2645290581162325,0.5325317822019667
0.4342222222222223,0.3625027833444665,0.4648896617893979
0.3382222222222222,0.4377644177243376,0.39934636603502033
0.22288888888888891,0.33979069249610316,0.4328526025425761
0.12111111111111117,0.20797149855266084,0.5176601103382106
0.006000000000000005,0.08283233132932533,0.6831674262413048
0.017111111111111077,0.01692273435760394,0.844791916526745
0.12155555555555542,0.06457359162769971,0.7180528903813863
0.23288888888888892,0.1545312847918059,0.5653484048932597
0.31733333333333347,0.24849699398797598,0.4822349484288798
0.21533333333333338,0.3152972611890448,0.4398986567522187
0.2360000000000002,0.22333556000890664,0.5092348284960422
0.3288888888888888,0.2516143397906925,0.47538378508035495
0.45866666666666656,0.3324426631039856,0.3969776924922043
0.5517777777777779,0.4558004898686263,0.30046174142480203
0.6639999999999999,0.5134713872188821,0.22803729911249693
0.7819999999999998,0.5669116009797375,0.180723794674982
0.8751111111111112,0.6624359830772659,0.14846186135763972
0.7837777777777777,0.7454909819639279,0.1408311345646438
0.6615555555555555,0.8211979514584724,0.13522427440633245
0.5695555555555554,0.8309953239812959,0.14541856560326216
0.4682222222222221,0.7129815185927411,0.1826277284720556
0.5453333333333334,0.5542195502115341,0.28926301271288074
0.6497777777777778,0.5234914272990425,0.3626918925401775
0.7657777777777774,0.6374972166555335,0.31419405133125444
0.6695555555555555,0.7325762636383881,0.2919315183497241
0.5515555555555556,0.7076374972166553,0.283476253298153
0.4462222222222223,0.5989757292362501,0.2990075557687694
0.3353333333333335,0.48162992651970593,0.3257975533701127
0.22377777777777763,0.3620574482297927,0.36835871911729423
0.1035555555555554,0.2289022489423289,0.44818901415207474
0.013333333333333197,0.07726564239590306,0.6497811225713599
0.08533333333333348,0.04809619238476959,0.7266280882705684
