,0
0,16.73
1,16.26
2,15.68
3,15.439999999999998
4,15.96
5,16.179999999999996
6,17.379999999999995
7,18.439999999999998
8,18.75
9,18.8
10,18.66
11,16.62
12,13.309999999999995
13,10.199999999999996
14,9.319999999999999
15,9.949999999999994
16,10.189999999999998
17,11.56
18,14.24
19,18.57
20,22.33
21,22.009999999999998
22,21.669999999999995
23,20.139999999999993
24,18.8
25,17.619999999999997
26,17.259999999999998
27,17.11
28,17.269999999999996
29,17.69
30,18.729999999999997
31,19.48
32,20.05
33,19.970000000000002
34,19.279999999999998
35,17.339999999999996
36,13.189999999999998
37,10.36
38,9.889999999999999
39,10.449999999999996
40,10.709999999999999
41,12.13
42,14.909999999999998
43,19.61
44,23.629999999999992
45,23.330000000000002
46,23.19
47,21.3
48,19.760000000000005
49,18.68
50,18.149999999999995
51,18.149999999999995
52,18.42
53,18.819999999999997
54,19.69
55,20.55
56,20.750000000000004
57,20.750000000000004
58,20.119999999999997
59,18.109999999999996
60,13.659999999999997
61,10.81
62,11.029999999999994
63,11.67
64,11.969999999999999
65,13.53
66,16.639999999999997
67,21.929999999999993
68,26.4
69,26.059999999999995
70,25.81
71,23.709999999999997
72,22.02
73,20.82
74,20.23
75,20.179999999999993
76,20.459999999999994
77,20.890000000000004
78,21.82999999999999
79,22.779999999999994
80,22.999999999999993
81,23.019999999999996
82,22.35
83,20.13
84,15.219999999999999
85,12.06
86,12.759999999999996
87,13.509999999999996
88,13.86
89,15.629999999999997
90,19.229999999999997
91,25.319999999999997
92,30.459999999999997
93,30.090000000000003
94,29.72
95,27.320000000000004
96,25.379999999999992
97,23.98999999999999
98,23.299999999999997
99,23.19
100,23.479999999999997
101,23.96
102,24.990000000000002
103,26.08
104,26.340000000000003
105,26.369999999999994
106,25.619999999999997
107,23.099999999999994
108,17.529999999999998
109,13.909999999999997
110,16.189999999999998
111,16.879999999999995
112,17.39
113,18.61
114,21.3
115,28.35
116,34.36999999999999
117,33.63999999999999
118,33.07999999999999
119,31.70999999999999
120,30.310000000000002
121,28.949999999999992
122,27.979999999999993
123,27.810000000000002
124,28.119999999999994
125,28.64
126,29.83
127,30.299999999999994
128,30.299999999999994
129,29.789999999999996
130,28.800000000000004
131,26.150000000000002
132,20.839999999999996
133,17.199999999999996
134,16.309999999999995
135,16.489999999999995
136,17.439999999999998
137,18.58
138,21.420000000000005
139,29.36
140,34.74
141,33.09
142,32.57
143,31.130000000000003
144,29.4
145,28.9
146,27.57
147,27.089999999999996
148,26.64
149,27.320000000000004
150,28.80999999999999
151,30.179999999999996
152,30.319999999999997
153,29.849999999999994
154,28.829999999999995
155,26.560000000000002
156,21.209999999999994
157,17.57999999999999
158,16.979999999999997
159,17.4
160,17.269999999999996
161,18.769999999999996
162,22.779999999999994
163,31.03
164,33.82999999999999
165,31.80999999999999
166,31.58
167,30.379999999999992
168,28.880000000000003
169,28.23999999999999
170,27.269999999999996
171,27.069999999999993
172,27.73999999999999
173,28.41
174,29.249999999999996
175,30.75
176,30.999999999999996
177,30.55999999999999
178,29.849999999999994
179,27.209999999999994
180,21.749999999999993
181,18.46
182,17.789999999999996
183,18.32
184,18.8
185,20.530000000000005
186,23.41
187,31.03
188,36.77
189,35.88
190,35.58
191,34.22
192,32.65999999999999
193,31.17
194,30.119999999999994
195,30.219999999999995
196,30.379999999999992
197,30.899999999999995
198,32.00999999999999
199,33.019999999999996
200,33.13
201,32.56
202,31.06
203,28.430000000000003
204,22.56
205,18.78
206,16.499999999999996
207,17.14
208,17.57999999999999
209,19.039999999999996
210,21.680000000000003
211,28.68
212,33.989999999999995
213,33.44
214,33.099999999999994
215,31.759999999999998
216,30.190000000000005
217,28.800000000000004
218,27.959999999999997
219,27.97
220,28.21
221,28.750000000000004
222,29.93
223,30.47
224,30.359999999999996
225,29.849999999999994
226,28.929999999999996
227,26.249999999999996
228,20.779999999999994
229,17.32
230,18.069999999999997
231,18.769999999999996
232,19.249999999999996
233,20.81
234,23.660000000000004
235,31.340000000000003
236,37.12
237,36.51
238,36.07
239,34.66
240,32.959999999999994
241,31.469999999999995
242,30.539999999999996
243,30.510000000000005
244,30.759999999999994
